HCPCS,MOD,DESCRIPTION,STATUS
G9097,,Onc dx esophageal t4 no prog,M
G9098,,Onc dx esophageal mets recur,M
G9099,,Onc dx esophageal unknown,M
G9100,,Onc dx gastric no recurrence,M
G9101,,Onc dx gastric p r1-r2noprog,M
G9102,,Onc dx gastric unresectable,M
G9103,,Onc dx gastric recurrent,M
G9104,,Onc dx gastric unknown nos,M
G9105,,Onc dx pancreatc p r0 res no,M
G9106,,Onc dx pancreatc p r1/r2 no,M
G9107,,Onc dx pancreatic unresectab,M
G9108,,Onc dx pancreatic unknwn nos,M
G9109,,Onc dx head/neck t1-t2no prg,M
G9110,,Onc dx head/neck t3-4 noprog,M
G9111,,Onc dx head/neck m1 mets rec,M
G9112,,Onc dx head/neck ext unknown,M
G9113,,Onc dx ovarian stg1a-b no pr,M
G9114,,Onc dx ovarian stg1a-b or 2,M
G9115,,Onc dx ovarian stg3/4 noprog,M
G9116,,Onc dx ovarian recurrence,M
G9117,,Onc dx ovarian unknown nos,M
G9123,,Onc dx cml chronic phase,M
G9124,,Onc dx cml acceler phase,M
G9125,,Onc dx cml blast phase,M
G9126,,Onc dx cml remission,M
G9128,,Onc dx multi myeloma stage i,M
G9129,,Onc dx mult myeloma stg2 hig,M
G9130,,Onc dx multi myeloma unknown,M
G9131,,Onc dx brst unknown nos,M
G9132,,Onc dx prostate mets no cast,M
G9133,,Onc dx prostate clinical met,M
G9134,,Onc nhlstg 1-2 no relap no,M
G9135,,Onc dx nhl stg 3-4 not relap,M
G9136,,Onc dx nhl trans to lg bcell,M
G9137,,Onc dx nhl relapse/refractor,M
G9138,,Onc dx nhl stg unknown,M
G9139,,Onc dx cml dx status unknown,M
G9140,,Frontier extended stay demo,X
G9143,,Warfarin respon genetic test,X
G9147,,Outpt iv insulin tx any mea,N
G9148,,Medical home level 1,R
G9149,,Medical home level ii,R
G9150,,Medical home level iii,R
G9151,,Mapcp demo state,R
G9152,,Mapcp demo community,R
G9153,,Mapcp demo physician,R
G9156,,Evaluation for wheelchair,R
G9157,,Transesoph doppl cardiac mon,A
G9187,,Bpci home visit,A
G9188,,Beta not given no reason,M
G9189,,Beta pres or already taking,M
G9190,,Medical reason for no beta,M
G9191,,Pt reason for no beta,M
G9212,,Doc of dsm-iv init eval,M
G9213,,No doc of dsm-iv,M
G9223,,Pjp proph ordered cd4 low,M
G9225,,Norsn no foot exam,M
G9226,,3 comp foot exam completed,M
G9227,,"Foa doc, care plan not doc",M
G9228,,Gc chl syp documented,M
G9230,,Norsn for gc chl syp test,M
G9231,,Doc esrd dia trans preg,M
G9242,,Doc viral load >=200,M
G9243,,Doc viral load <200,M
G9246,,No med visit in 24mo,M
G9247,,1 med visit in 24mo,M
G9254,,Doc pt dischg >2d,M
G9255,,Doc pt dischg <=2d,M
G9273,,Sys<140 and dia<90,M
G9274,,Bp out of nrml limits,M
G9275,,Doc of non tobacco user,M
G9276,,Doc of tobacco user,M
G9277,,Doc daily aspirin or contra,M
G9278,,Doc no daily aspirin,M
G9279,,Pne scrn done doc vac done,M
G9280,,Pne not given norsn,M
G9281,,Pne scrn done doc not ind,M
G9282,,Doc medrsn no histo type,M
G9283,,Hist type doc on report,M
G9284,,No hist type doc on report,M
G9285,,Site not small cell lung ca,M
G9286,,Antibio rx w in 10d of sympt,M
G9287,,No antibio w in 10d of sympt,M
G9288,,Doc medrsn no hist type rpt,M
G9289,,Doc type nsm lung ca,M
G9290,,No doc type nsm lung ca,M
G9291,,Not nsm lung ca,M
G9292,,Medrsn no pt category,M
G9293,,No pt category on report,M
G9294,,Pt cat and thck on report,M
G9295,,Non cutaneous loc,M
G9296,,Doc share dec prior proc,M
G9297,,No doc share dec prior proc,M
G9298,,Eval risk vte card 30d prior,M
G9299,,No eval risk vte card prior,M
G9305,,No interv req for leak,M
G9306,,Interv req for leak,M
G9307,,No ret for surg w in 30d,M
G9308,,Unpl ret or w/compl w/in 30d,M
G9309,,No unplnd hosp readm in 30d,M
G9310,,Unplnd hosp readm in 30d,M
G9311,,No surg site infection,M
G9312,,Surgical site infection,M
G9313,,Amoxic not presc as 1st line,M
G9314,,Norsn not first line amox,M
G9315,,Amox w/wo clav rx,M
G9316,,Doc comm risk calc,M
G9317,,No doc comm risk calc,M
G9318,,Image std nomenclature,M
G9319,,Image not std nomenclature,M
G9321,,Doc count of ct in 12mo,M
G9322,,No doc count of ct in 12mo,M
G9341,,Srch for ct w in 12 mos,M
G9342,,No srch for ct in 12mo norsn,M
G9344,,Sysrsn no dicom srch,M
G9345,,Follow up pulm nod,M
G9347,,No follow up pulm nod norsn,M
G9351,,Doc >1 sinus ct w 90d dx,M
G9352,,Not >1 sinus ct w 90d dx,M
G9353,,Medrsn >1 sinus ct w 90d dx,M
G9354,,1 or no ct sinus w/in 90d dx,M
G9355,,No early ind/delivery,M
G9356,,Early ind/delivery,M
G9357,,Pp eval/edu perf,M
G9358,,Pp eval/edu not perf,M
G9361,,Doc rsn elect c-sec/induct,M
G9364,,Sinus caus bac inx,M
G9367,,>= 2 same hi-rsk med ord,M
G9368,,>= 2 same hi-rsk med not ord,M
G9380,,Off assis eol iss,M
G9382,,No off assis eol,M
G9383,,Recd scrn hcv infec,M
G9384,,Doc med rsn no hcv scrn,M
G9385,,Doc pt reas not rec hcv srn,M
G9386,,Scrn hcv infec not recd,M
G9393,,Ini phq9 >9 remiss <5,M
G9394,,"Dx bipol, death, nhres, hosp",M
G9395,,Ini phq9 >9 no remiss >=5,M
G9396,,Ini phq9 >9 not assess,M
G9402,,Recd f/u w/in 30d disch,M
G9403,,Doc reas no 30 day f/u,M
G9404,,No 30 day f/u,M
G9405,,Recd f/u w/in 7d dc,M
G9406,,Doc reas no 7d f/u,M
G9407,,No 7d f/u,M
G9408,,Card tamp w/in 30d,M
G9409,,No card tamp e/in 30d,M
G9410,,Admit w/in 180d req remov,M
G9411,,No admit w/in 180d req remov,M
G9412,,Admit w/in 180d req surg rev,M
G9413,,No admit req surg rev,M
G9414,,1dose menig vac btwn 11 & 13,M
G9415,,No 1dose meni vac btwn 11&13,M
G9416,,Pt 1 tdap betw 10-13 yrs,M
G9417,,Pt not 1 tdap betw 10-13 yrs,M
G9418,,Lungcx bx rpt docs class,M
G9419,,Med reas not incl histo type,M
G9420,,Spec site no lung,M
G9421,,Lung cx bx rpt no doc class,M
G9422,,Rpt doc class histo type,M
G9423,,Med reas rpt no histo type,M
G9424,,Site no lung or lung cx,M
G9425,,Spec rpt no doc class histo,M
G9426,,Impr med time edarr pain med,M
G9427,,No impro med time pain med,M
G9428,,Patho rpt incl pt ctg,M
G9429,,Doc med rsn no pt cat,M
G9430,,Spec site no cutaneous,M
G9431,,Patho rpt no pt ctg,M
G9432,,Asth controlled,M
G9434,,Asth not controlled,M
G9452,,Doc med reas no hcv test,M
G9455,,"Abd imag w/us, ct or mri",M
G9456,,Doc med pt reas no hcc scrn,M
G9457,,Pt no abd img no doc rsn,M
G9458,,Tob user recd cess interv,M
G9459,,Tob non-user,M
G9460,,No tob assess or cess inter,M
G9468,,No recd cortico>=10mg/d >60d,M
G9470,,No rec cortico>60d 1rx 600mg,M
G9471,,W/in 2yr dxa not order,M
G9473,,Chap services at hospice,X
G9474,,Diet counsel at hospice,X
G9475,,Other counselor at hospice,X
G9476,,Volun service at hospice,X
G9477,,Care coord at hospice,X
G9478,,Othe therapist at hospice,X
G9479,,Pharmacist at hospice,X
G9480,,Admission to mccm,X
G9481,,Remote e/m new pt 10mins,A
G9482,,Remote e/m new pt 20mins,A
G9483,,Remote e/m new pt 30mins,A
G9484,,Remote e/m new pt 45mins,A
G9485,,Remote e/m new pt 60mins,A
G9486,,Remote e/m est. pt 10mins,A
G9487,,Remote e/m est. pt 15mins,A
G9488,,Remote e/m est. pt 25mins,A
G9489,,Remote e/m est. pt 40mins,A
G9490,,Cmmi mod home visit,A
G9497,,Rec inst no smoke day surg,M
G9498,,Abx reg prescribed,M
G9500,,Rad expos ind/exp tm doc,M
G9501,,Rad expos ind/exp tm no doc,M
G9502,,Med reas no perf foot exam,M
G9504,,Doc rsn hep b stat not asses,M
G9505,,Abx pres w/in 10 dys of symp,M
G9507,,Doc reas on statin or contra,M
G9508,,Doc pt not on statin,M
G9509,,Adit mdd dys rem 12 mnths,M
G9510,,Remis12m not phq-9 score <5,M
G9511,,Idx evt dte phq>9 doc 12 mo,M
G9512,,Indiv pdc > 0.8,M
G9513,,Indiv pdc not > 0.8,M
G9514,,Req ret or w/in 90d of surg,M
G9515,,"No reas, no ret or w/in 90d",M
G9516,,Impr vis acuit w/in 90d,M
G9517,,No impr vis acuit w/in 90d,M
G9518,,Doc active inj drug use,M
G9519,,Final ref +/- 1.0 w/in 90d,M
G9520,,Refract not +/- 1.0 w/in 90d,M
G9521,,Er and ip hosp <2 in 12 mos,M
G9522,,Er/ip hosp =/>2 in 12 mos,M
G9529,,Minor blunt trauma w/head ct,M
G9530,,Pt mbht hd ct ord ec prov,M
G9531,,Pt doc,M
G9533,,Indic for head ct not valid,M
G9537,,Img hd clin trial,M
G9539,,Intent pot remv time placemt,M
G9540,,Pt alive 3 mos post proc,M
G9541,,Filter rem 3 mon plmt,M
G9542,,Doc reass appr remo filt 3ms,M
G9543,,Doc 2x re-assess filt remov,M
G9544,,No filt remov w/in 3mos plcm,M
G9547,,Cys ren les or adren,M
G9548,,No f/u rec image study,M
G9549,,Doc med rsn for f/u imag,M
G9550,,Imag rec,M
G9551,,Imag no les,M
G9552,,Inc thyr node <1.0 in rpt,M
G9553,,Prior thyroid dise dx,M
G9554,,Ct/cta/mri/a chst foll rec,M
G9555,,Doc med rsn for follup image,M
G9556,,Ct/cta/mri/a no follup imag,M
G9557,,Ct/cta/mri/a no thyr <1.0cm,M
G9580,,Door to punc time <2hrs,M
G9582,,"Door to punc time >2hr, nrg",M
G9593,,Low pecarn ped head trauma,M
G9594,,Pt mbht hd ct ord ec prov,M
G9595,,Doc shnt/tum/coag,M
G9597,,No low pecarn ped head traum,M
G9598,,Aor ane 5.5-5.9 cm max diam,M
G9599,,Aor ane >=6.0 cm max diam,M
G9603,,Pt surv improv bsline tx,M
G9604,,Pt surv results not avail,M
G9605,,Surv score no improv w/tx,M
G9606,,Intraop cyst eval trac inj,M
G9607,,Doc med rsn not perf cystosc,M
G9608,,Intraop cyst eval not done,M
G9609,,Doc order anti-plat,M
G9610,,Doc md rsn no antipla,M
G9611,,No doc order anti-plat rng,M
G9621,,Scr unheal etoh w/counsel,M
G9622,,No unheal etoh user,M
G9624,,Pt not scrn or no counseling,M
G9625,,Pt bl srg 30 day pst srg,M
G9626,,Med rsn no rpt bladder inj,M
G9627,,Pt no bl srg 30 day pst srg,M
G9628,,Pt bwli srg 30 day pst srg,M
G9629,,Med rsn no rpt bowel inj,M
G9630,,Pt no bwli srg 30 day srg,M
G9637,,Doc >1 dose reduc tech,M
G9638,,No doc >1 dose reduc tech,M
G9642,,Current smoker,M
G9643,,Elective surgery,M
G9644,,No smok b/4 anes day of surg,M
G9645,,Had smoke b/4 anes day surg,M
G9646,,Pt w/90d mrs 0-2,M
G9648,,Pt w/90d mrs >2,M
G9649,,Psor as doc spc bm,M
G9651,,Psor as doc no spc bm,M
G9654,,Mon anesth care,M
G9655,,Toc tool incl key elem,M
G9656,,Pt trans from anest to pacu,M
G9658,,Toc tool incl elem not used,M
G9659,,>=86y no hx colo ca/rsn scop,M
G9660,,Doc med rsn scope pt >= 86y,M
G9661,,Pt >= 86  w/ hi risk,M
G9662,,Prior dx/active clin ascvd,M
G9663,,Fast/dir ldl >= 190 mg/dl,M
G9664,,Taking statin or rec'd order,M
G9665,,No statin/no order statin,M
G9674,,Pt w/clin ascvd dx,M
G9675,,Pt w/fast/dir lab ldl-c >190,M
G9676,,40-75y w/type 1/2 w/ldl-c rs,M
G9679,,Acute care pneumonia,X
G9680,,Acute care congestive heart,X
G9681,,Acute care chronic obstruct,X
G9682,,Acute care skin infection,X
G9683,,Acute fluid/electro disorder,X
G9684,,Acute care urinary tract inf,X
G9685,,Acute nursing facility care,A
G9687,,Hospice anytime msmt per,M
G9688,,Pt w/hosp anytime msmt per,M
G9689,,Inpt elect carotid intervent,M
G9690,,Pt in hos,M
G9691,,Pt hosp dur msmt period,M
G9692,,Hosp recd by pt dur msmt per,M
G9693,,Pt use hosp during msmt per,M
G9694,,Hosp srv used pt in msmt per,M
G9695,,Long act inhal bronchdil pre,M
G9696,,Med rsn no presc bronchdil,M
G9698,,Sys rsn no presc bronchdil,M
G9699,,Long inhal bronchdil no pres,M
G9700,,Pt is w/hosp during msmt per,M
G9702,,Pt use hosp during msmt per,M
G9703,,Anbx 30 prior to episode,M
G9704,,Ajcc br ca stg i: t1 mic/t1a,M
G9705,,Ajcc br ca stg ib,M
G9706,,Low recur prost ca,M
G9707,,Pt had hosp dur msmt per,M
G9708,,Bilat mast/hx bi /unilat mas,M
G9709,,Hosp srv used pt in msmt per,M
G9710,,Pt prov hosp srv msmt per,M
G9711,,Pt hx tot col or colon ca,M
G9712,,Doc med rsn presc anbx,M
G9713,,Pt use hosp during msmt per,M
G9714,,Pt is w/hosp during msmt per,M
G9716,,Bmi doc onl fup not cmpltd,M
G9717,,Doc pt dx bipol,M
G9719,,Pt not ambul/immob/wc,M
G9720,,Hospice anytime msmt per,M
G9721,,Pt not ambul/immob/wc,M
G9722,,Doc hx renal fail or cr+ >=4,M
G9723,,Hosp recd by pt dur msmt per,M
G9724,,Pt w/doc use anticoag mst yr,M
G9726,,Refused to participate,M
G9727,,Pt unable cmplt lepf prom,M
G9728,,Refused to participate,M
G9729,,Pt unbl cmplt lepf prom,M
G9730,,Refused to participate,M
G9731,,Pt unbl cmplt lepf prom,M
G9732,,Refused to participate,M
G9733,,Pt unbl cmplt lb fs prom,M
G9734,,Refused to participate,M
G9735,,Pt unbl cmplt shld fs prom,M
G9736,,Refused to participate,M
G9737,,Pt unbl cmplt ewh fs prom,M
G9740,,Hosp srv to pt dur msmt per,M
G9741,,Pt w/hosp anytime msmt per,M
G9744,,Pt not eli d/t act dig htn,M
G9745,,Doc rsn no hbp scrn or f/u,M
G9746,,"Mit sten, valve or trans af",M
G9751,,Pt died w/in 24 mos rpt time,M
G9752,,Urgent surgery,M
G9753,,"Doc no dicom, ct other fac",M
G9754,,Incid pulm nodule,M
G9755,,Doc med rsn no fllw up,M
G9756,,Surg proc w/silicone oil,M
G9757,,Surg proc w/silicone oil,M
G9758,,Pt in hos,M
G9760,,Pt w/hosp anytime msmt per,M
G9761,,Pt w/hosp anytime msmt per,M
G9762,,Pt had >= 2-3 hpv vaccines,M
G9763,,Pt not have 2-3 hpv vaccines,M
G9764,,Pt treatd w/oral syst or bio,M
G9765,,Doc pat declined therapy,M
G9766,,Cva stroke dx tx transf fac,M
G9767,,Hosp new dx cva consid evst,M
G9768,,Pt w/hosp anytime msmt per,M
G9769,,Bn den 2yr/got ost med/ther,M
G9770,,Perip nerve block,M
G9771,,"Anes end, 1 temp >35.5(95.9)",M
G9772,,Doc med rsn no temp >= 35.5,M
G9773,,1 bod temp >=35.5,M
G9775,,Recd 2 anti-emet pre/intraop,M
G9776,,Doc med rsn no proph antiem,M
G9777,,Pt no antiemet pre/intraop,M
G9779,,Pts breastfeeding,M
G9780,,Pts dx w/rhabdomyolysis,M
G9781,,Doc rsn no statin,M
G9782,,Hx dx fam/pure hypercholes,M
G9784,,Path/derm prov 2nd biop opin,M
G9785,,Path report sent,M
G9786,,Path report not sent,M
G9787,,Pt alive,M
G9788,,Most rct bp </= 140/90,M
G9789,,"Record bp ip, er, urg/self",M
G9790,,Most rct bp >/= 140/90,M
G9791,,Most rct tob stat free,M
G9792,,Most rct tob stat not free,M
G9793,,Pt on daily asa/antiplat,M
G9794,,Doc med rsn no daily aspirin,M
G9795,,Pt no daily asa/antiplat,M
G9796,,Pt not currently on statin,M
G9797,,Pt currently on statin,M
G9805,,Pt w/hosp anytime msmt per,M
G9806,,Pt recd cerv cyto/hpv,M
G9807,,Pt no recd cerv cyto/hpv,M
G9812,,Pt died during inpt/30d aft,M
G9813,,Pt not died w/in 30d of proc,M
G9818,,Doc sex activity,M
G9819,,Pt w/hosp anytime msmt per,M
G9820,,Doc chlam scr test w/follow,M
G9821,,No doc chlam scr ts w/follow,M
G9822,,Endo abl proc yr prev ind dt,M
G9823,,Endo smpl/hyst bx res doc,M
G9824,,Endo smpl/hyst bx res no doc,M
G9830,,Her-2 pos,M
G9831,,Ajcc stg brt ca dx ii or iii,M
G9832,,"Brt ca dx i, no t1/t1a/t1b",M
G9838,,Pt met dis at dx,M
G9839,,Anti-egfr mon anti ther,M
G9840,,Gene testing performed,M
G9841,,Gene testing not performed,M
G9842,,Pt met dis at dx,M
G9843,,Kras or nras gene mutation,M
G9844,,Pt no recd anti-egfr ther,M
G9845,,Pt recd anti-egfr ther,M
G9846,,Pt died from cancer,M
G9847,,Pt recd chemo last 14d life,M
G9848,,Pt no chemo last 14d life,M
G9858,,Pt enroll hospice,M
G9859,,Pt died from cancer,M
G9860,,Pt less 3d hospice,M
G9861,,Pt more than 3d hospice,M
G9862,,Doc rsn no 10 yr follow,M
G9868,,Cmmi asyntelehealth <10min,A
G9869,,Cmmi asyntelehealth 10-20min,A
G9870,,Cmmi asyntelehealth >20min,A
G9873,,1 em core session,X
G9874,,4 em core sessions,X
G9875,,9 em core sessions,X
G9876,,2 em core ms mo 7-9 no wl,X
G9877,,2 em core ms mo 10-12 no wl,X
G9878,,2 em core ms mo 7-9 wl,X
G9879,,2 em core ms mo 10-12 wl,X
G9880,,Em 5 percent wl,X
G9881,,Em 9 percent wl,X
G9882,,2 em ongoing ms mo 13-15 wl,X
G9883,,2 em ongoing ms mo 16-18 wl,X
G9884,,2 em ongoing ms mo 19-21 wl,X
G9885,,2 em ongoing ms mo 22-24 wl,X
G9886,,In-person attendance g code,X
G9887,,Distance learning attendance,X
G9888,,5% wl maintnd from bsline wt,X
G9890,,Em bridge payment,X
G9891,,Em session reporting,X
G9892,,Doc pt rsn no dil mac exam,M
G9893,,No mac exam,M
G9894,,Adr dep thrpy prescribed,M
G9895,,Doc med rsn no adr dep thrpy,M
G9896,,Doc pt rsn no adr dep thrpy,M
G9897,,Pt nt prsc adr dep thrpy rng,M
G9898,,Pt 66+ snp or ltc pos > 90d,M
G9899,,Scrn mam perf rslts doc,M
G9900,,Scrn mam perf rslts not doc,M
G9901,,Pt 66+ snp or ltc pos > 90d,M
G9902,,Pt scrn tbco and id as user,M
G9903,,Pt scrn tbco id as non user,M
G9905,,No pt tbco scrn rng,M
G9906,,Pt recv tbco cess interv,M
G9908,,No pt tbco cess interv rng,M
G9910,,Pt 66+ snp or ltc pos > 90d,M
G9911,,Node neg pre/post syst ther,M
G9912,,Hbv status assesed and int,M
G9913,,No hbv status assesd and int,M
G9914,,Pt initiated anti-tnf agent,M
G9915,,No documntd hbv results rcd,M
G9916,,Funct status past 12 months,M
G9917,,Adv dem crgvr limited,M
G9918,,"No funct stat perf, rsn nos",M
G9919,,Scrn nd pos nd prov of rec,M
G9920,,Scrning perf and negative,M
G9921,,No or part scrn nd rng or os,M
G9922,,Sfty cncrns scrn nd mit recs,M
G9923,,Safty cncrns scrn and neg,M
G9925,,No scrn prov rsn nos,M
G9926,,Sfty cncrns scrn but no recs,M
G9928,,No warf or fda drug presc,M
G9929,,Trs/rev af,M
G9930,,Com care,M
G9931,,No chad or chad scr 0 or 1,M
G9938,,Pt 66+ snp or ltc pos > 90d,M
G9939,,Same path/derm perf biopsy,M
G9940,,Doc reas no statin therapy,M
G9943,,Bk pn nt msr vas scl pre/pst,M
G9945,,Pt w/cancer scoliosis,M
G9946,,Bk pain no vas,M
G9949,,Leg pain no vas,M
G9954,,Pt >2 rsk fac post-op vomit,M
G9955,,Inhlnt anesth only for induc,M
G9956,,Combo thrpy of >= 2 prophly,M
G9957,,Doc med rsn no combo thrpy,M
G9958,,No combo prohpyl thrp for pt,M
G9959,,Systemic antimicro not presc,M
G9960,,Med rsn sys antimi nt rx,M
G9961,,Systemic antimicro presc,M
G9962,,Embolization doc separatly,M
G9963,,Embolization not doc separat,M
G9964,,Pt recv >=1 well-chld visit,M
G9965,,No well-chld vist recv by pt,M
G9968,,Pt refrd 2 pvdr/spclst in pp,M
G9969,,Pvdr rfrd pt rprt rcvd,M
G9970,,Pvdr rfrd pt no rprt rcvd,M
G9974,,Mac exam perf,M
G9975,,Doc med rsn no dil mac exam,M
G9978,,Remote e/m new pt 10mins,A
G9979,,Remote e/m new pt 20mins,A
G9980,,Remote e/m new pt 30 mins,A
G9981,,Remote e/m new pt 45mins,A
G9982,,Remote e/m new pt 60mins,A
G9983,,Remote e/m est. pt 10mins,A
G9984,,Remote e/m est. pt  15mins,A
G9985,,Remote e/m est. pt 25mins,A
G9986,,Remote e/m est. pt 40mins,A
G9987,,Bpci advanced in home visit,A
G9988,,Pall serv during meas,M
G9990,,No pneum vax admin 19+,M
G9991,,Pneum vax admin 19+,M
G9992,,Pall serv during meas,M
G9993,,Pall serv during meas,M
G9994,,Pall serv during meas,M
G9996,,Doc pt pal or hospice,M
G9997,,Doc pt preg dur msrmt pd,M
G9998,,Doc med rsn <3 colon,M
G9999,,Doc sys rsn <3 colon,M
H0001,,Alcohol and/or drug assess,I
H0002,,Alcohol and/or drug screenin,I
H0003,,Alcohol and/or drug screenin,I
H0004,,Alcohol and/or drug services,I
H0005,,Alcohol and/or drug services,I
H0006,,Alcohol and/or drug services,I
H0007,,Alcohol and/or drug services,I
H0008,,Alcohol and/or drug services,I
H0009,,Alcohol and/or drug services,I
H0010,,Alcohol and/or drug services,I
H0011,,Alcohol and/or drug services,I
H0012,,Alcohol and/or drug services,I
H0013,,Alcohol and/or drug services,I
H0014,,Alcohol and/or drug services,I
H0015,,Alcohol and/or drug services,I
H0016,,Alcohol and/or drug services,I
H0017,,Alcohol and/or drug services,I
H0018,,Alcohol and/or drug services,I
H0019,,Alcohol and/or drug services,I
H0020,,Alcohol and/or drug services,I
H0021,,Alcohol and/or drug training,I
H0022,,Alcohol and/or drug interven,I
H0023,,Alcohol and/or drug outreach,I
H0024,,Alcohol and/or drug preventi,I
H0025,,Alcohol and/or drug preventi,I
H0026,,Alcohol and/or drug preventi,I
H0027,,Alcohol and/or drug preventi,I
H0028,,Alcohol and/or drug preventi,I
H0029,,Alcohol and/or drug preventi,I
H0030,,Alcohol and/or drug hotline,I
H0031,,Mh health assess by non-md,I
H0032,,Mh svc plan dev by non-md,I
H0033,,Oral med adm direct observe,I
H0034,,Med trng & support per 15min,I
H0035,,Mh partial hosp tx under 24h,I
H0036,,Comm psy face-face per 15min,I
H0037,,Comm psy sup tx pgm per diem,I
H0038,,Self-help/peer svc per 15min,I
H0039,,Asser com tx face-face/15min,I
H0040,,Assert comm tx pgm per diem,I
H0041,,Fos c chld non-ther per diem,I
H0042,,Fos c chld non-ther per mon,I
H0043,,"Supported housing, per diem",I
H0044,,"Supported housing, per month",I
H0045,,Respite not-in-home per diem,I
H0046,,"Mental health service, nos",I
H0047,,Alcohol/drug abuse svc nos,I
H0048,,Spec coll non-blood:a/d test,I
H0049,,Alcohol/drug screening,I
H0050,,Alcohol/drug service 15 min,I
H1000,,Prenatal care atrisk assessm,I
H1001,,Antepartum management,I
H1002,,Carecoordination prenatal,I
H1003,,Prenatal at risk education,I
H1004,,Follow up home visit/prental,I
H1005,,Prenatalcare enhanced srv pk,I
H1010,,Nonmed family planning ed,I
H1011,,Family assessment,I
H2000,,Comp multidisipln evaluation,I
H2001,,Rehabilitation program 1/2 d,I
H2010,,Comprehensive med svc 15 min,I
H2011,,"Crisis interven svc, 15 min",I
H2012,,"Behav hlth day treat, per hr",I
H2013,,"Psych hlth fac svc, per diem",I
H2014,,"Skills train and dev, 15 min",I
H2015,,"Comp comm supp svc, 15 min",I
H2016,,"Comp comm supp svc, per diem",I
H2017,,"Psysoc rehab svc, per 15 min",I
H2018,,"Psysoc rehab svc, per diem",I
H2019,,"Ther behav svc, per 15 min",I
H2020,,"Ther behav svc, per diem",I
H2021,,"Com wrap-around sv, 15 min",I
H2022,,"Com wrap-around sv, per diem",I
H2023,,"Supported employ, per 15 min",I
H2024,,"Supported employ, per diem",I
H2025,,"Supp maint employ, 15 min",I
H2026,,"Supp maint employ, per diem",I
H2027,,"Psychoed svc, per 15 min",I
H2028,,"Sex offend tx svc, 15 min",I
H2029,,"Sex offend tx svc, per diem",I
H2030,,"Mh clubhouse svc, per 15 min",I
H2031,,"Mh clubhouse svc, per diem",I
H2032,,"Activity therapy, per 15 min",I
H2033,,Multisys ther/juvenile 15min,I
H2034,,"A/d halfway house, per diem",I
H2035,,"A/d tx program, per hour",I
H2036,,"A/d tx program, per diem",I
H2037,,"Dev delay prev dp ch, 15 min",I
H2038,,Skill train and dev/diem,I
H2040,,"Coord specialty care, month",I
H2041,,Coord special care encounter,I
J0120,,Tetracyclin injection,E
J0121,,"Inj., omadacycline, 1 mg",E
J0122,,"Inj., eravacycline, 1 mg",E
J0129,,Abatacept injection,E
J0130,,Abciximab injection,E
J0131,,"Inj, acetaminophen (nos)",E
J0132,,Acetylcysteine injection,E
J0133,,Acyclovir injection,E
J0134,,Inj acetaminophen -fresenius,E
J0135,,Adalimumab injection,E
J0136,,"Inj, acetaminophen (b braun)",E
J0137,,"Inj, acetaminophen (hikma)",E
J0153,,Adenosine inj 1mg,E
J0171,,Adrenalin epinephrine inject,E
J0172,,"Inj, aducanumab-avwa, 2 mg",E
J0173,,"Inj, epinephrine (belcher)",E
J0174,,"Inj, lecanemab-irmb, 1 mg",E
J0177,,"Inj, aflibercept hd, 1 mg",E
J0178,,Aflibercept injection,E
J0179,,"Inj, brolucizumab-dbll, 1 mg",E
J0180,,Agalsidase beta injection,E
J0184,,"Inj, amisulpride, 1 mg",E
J0185,,"Inj., aprepitant, 1 mg",E
J0190,,Inj biperiden lactate/5 mg,E
J0200,,Alatrofloxacin mesylate,E
J0202,,"Injection, alemtuzumab",E
J0205,,Alglucerase injection,E
J0206,,Inj allopurinol sodium 1 mg,E
J0207,,Amifostine,E
J0208,,"Inj, pedmark, 100 mg",E
J0209,,"Inj, sod thiosulfate (hope)",E
J0210,,Methyldopate hcl injection,E
J0215,,Alefacept,E
J0216,,"Inj, alfentanil hcl, 500mcg",E
J0217,,Inj velmanase alfa-tycv 1 mg,E
J0218,,Inj olipudase alfa-rpcp 1mg,E
J0219,,Inj aval alfa-nqpt 4mg,E
J0220,,Alglucosidase alfa injection,E
J0221,,Lumizyme injection,E
J0222,,"Inj., patisiran, 0.1 mg",E
J0223,,Inj givosiran 0.5 mg,E
J0224,,"Inj. lumasiran, 0.5 mg",E
J0225,,"Inj, vutrisiran, 1 mg",E
J0248,,"Inj, remdesivir, 1 mg",E
J0256,,Alpha 1 proteinase inhibitor,E
J0257,,Glassia injection,E
J0270,,Alprostadil for injection,E
J0275,,Alprostadil urethral suppos,E
J0278,,Amikacin sulfate injection,E
J0280,,Aminophyllin 250 mg inj,E
J0282,,Amiodarone hcl,E
J0283,,"Inj, amiodarone (nexterone)",E
J0285,,Amphotericin b,E
J0287,,Amphotericin b lipid complex,E
J0288,,Ampho b cholesteryl sulfate,E
J0289,,Amphotericin b liposome inj,E
J0290,,Ampicillin 500 mg inj,E
J0291,,"Inj., plazomicin, 5 mg",E
J0295,,Ampicillin sulbactam 1.5 gm,E
J0300,,Amobarbital 125 mg inj,E
J0330,,Succinycholine chloride inj,E
J0348,,Anidulafungin injection,E
J0349,,"Inj, rezafungin, 1 mg",E
J0350,,Injection anistreplase 30 u,E
J0360,,Hydralazine hcl injection,E
J0364,,Apomorphine hydrochloride,E
J0365,,"Aprotonin, 10,000 kiu",E
J0380,,Inj metaraminol bitartrate,E
